,Team,Possession (%),Pass Accuracy (%),Aerials Won,Season
0,Chelsea,56.9,82.5,11.6,2009-2010
1,Manchester United,55.6,79.9,13.2,2009-2010
2,Tottenham,52.1,76.1,18.2,2009-2010
3,Arsenal,57.0,80.8,14.4,2009-2010
4,Aston Villa,48.5,71.8,18.8,2009-2010
5,Manchester City,52.2,76.0,12.7,2009-2010
6,Liverpool,55.8,78.5,13,2009-2010
7,Everton,51.2,75.0,16.2,2009-2010
8,Birmingham,47.7,67.2,16.9,2009-2010
9,Sunderland,47.3,65.9,18.9,2009-2010
10,West Ham,49.4,74.9,15.3,2009-2010
11,Fulham,49.9,73.8,15.5,2009-2010
12,Bolton,45.1,63.7,20.1,2009-2010
13,Stoke,43.4,62.2,19.6,2009-2010
14,Wigan,51.4,74.3,14.9,2009-2010
15,Blackburn,45.9,63.8,21.2,2009-2010
16,Portsmouth,48.4,73.6,13.7,2009-2010
17,Wolverhampton Wanderers,47.6,67.3,15,2009-2010
18,Burnley,49.2,68.7,15.2,2009-2010
19,Hull,45.4,66.7,16.2,2009-2010
0,Chelsea,56.0,83.0,12.7,2010-2011
1,Manchester United,54.6,80.8,12.6,2010-2011
2,Arsenal,57.7,83.4,13.7,2010-2011
3,Manchester City,52.6,81.5,12.2,2010-2011
4,Tottenham,53.4,79.6,16.2,2010-2011
5,Liverpool,51.5,76.6,13.9,2010-2011
6,Fulham,50.2,75.5,16,2010-2011
7,Bolton,47.4,66.6,20.9,2010-2011
8,Sunderland,48.8,71.0,17.8,2010-2011
9,Aston Villa,49.1,73.4,16.5,2010-2011
10,Everton,49.9,75.5,14.4,2010-2011
11,Wigan,50.6,74.8,12.5,2010-2011
12,Newcastle United,49.8,75.4,15.8,2010-2011
13,West Ham,46.4,74.9,16.3,2010-2011
14,Stoke,42.0,63.4,19.8,2010-2011
15,Blackburn,44.0,64.2,15.7,2010-2011
16,Blackpool,49.9,75.4,13.5,2010-2011
17,West Bromwich Albion,48.7,77.2,11.2,2010-2011
18,Birmingham,47.9,70.6,16.9,2010-2011
19,Wolverhampton Wanderers,49.6,71.6,14.7,2010-2011
0,Manchester United,55.9,84.8,8.3,2011-2012
1,Manchester City,56.6,85.4,9,2011-2012
2,Tottenham,55.5,84.2,11,2011-2012
3,Arsenal,57.7,84.1,10.6,2011-2012
4,Chelsea,54.2,84.5,8.3,2011-2012
5,Fulham,49.3,81.4,9.5,2011-2012
6,Liverpool,53.6,80.7,12.9,2011-2012
7,Sunderland,45.6,73.6,10.8,2011-2012
8,Swansea,56.2,85.1,5.9,2011-2012
9,Newcastle United,47.9,76.0,10.9,2011-2012
10,Aston Villa,45.7,72.2,13.5,2011-2012
11,Everton,48.4,76.7,11.8,2011-2012
12,West Bromwich Albion,46.7,76.2,10.8,2011-2012
13,Queens Park Rangers,46.6,73.8,11,2011-2012
14,Bolton,47.5,71.1,12.8,2011-2012
15,Norwich,47.4,75.4,10.5,2011-2012
16,Wigan,49.9,79.9,7.9,2011-2012
17,Stoke,43.3,69.1,15.3,2011-2012
18,Blackburn,43.8,71.2,9.4,2011-2012
19,Wolverhampton Wanderers,48.2,75.6,10.6,2011-2012
0,Manchester United,54.9,85.2,14.2,2012-2013
1,Arsenal,56.2,85.2,16.8,2012-2013
2,Liverpool,55.2,83.9,12.7,2012-2013
3,Tottenham,52.8,82.5,14.6,2012-2013
4,Chelsea,52.9,82.7,13.5,2012-2013
5,Manchester City,56.0,84.6,15.8,2012-2013
6,Everton,51.9,79.0,18.6,2012-2013
7,Swansea,54.4,84.4,12.9,2012-2013
8,Fulham,49.6,81.4,15.3,2012-2013
9,Aston Villa,47.2,77.1,18.9,2012-2013
10,Southampton,52.2,77.3,16.4,2012-2013
11,West Ham,45.1,73.6,21.2,2012-2013
12,Sunderland,44.7,75.2,17,2012-2013
13,Queens Park Rangers,46.9,76.2,15.3,2012-2013
14,Newcastle United,49.3,79.1,18.1,2012-2013
15,Stoke,44.4,69.9,28.9,2012-2013
16,West Bromwich Albion,46.3,77.7,15.7,2012-2013
17,Wigan,52.9,82.1,10.3,2012-2013
18,Norwich,44.4,73.0,17,2012-2013
19,Reading,42.8,69.2,18.4,2012-2013
0,Liverpool,54.8,84.1,15.2,2013-2014
1,Manchester City,55.7,85.5,15.2,2013-2014
2,Chelsea,53.9,82.7,19.3,2013-2014
3,Arsenal,55.7,85.5,17.9,2013-2014
4,Everton,54.4,83.2,14.3,2013-2014
5,Manchester United,54.4,84.0,15.4,2013-2014
6,Southampton,56.5,81.1,17.4,2013-2014
7,Crystal Palace,41.0,70.2,23.2,2013-2014
8,Tottenham,53.4,81.1,15,2013-2014
9,Stoke,48.0,77.3,25.3,2013-2014
10,Newcastle United,49.8,79.4,20.6,2013-2014
11,Swansea,55.6,84.8,14.9,2013-2014
12,West Ham,44.2,73.1,21.2,2013-2014
13,West Bromwich Albion,47.2,77.1,18.2,2013-2014
14,Hull,45.8,76.1,18.9,2013-2014
15,Aston Villa,44.9,73.2,19.3,2013-2014
16,Sunderland,46.7,77.5,15,2013-2014
17,Fulham,45.7,78.0,17.1,2013-2014
18,Norwich,46.3,75.9,15.8,2013-2014
19,Cardiff,45.9,75.4,18.5,2013-2014
0,Arsenal,55.7,83.8,19.8,2014-2015
1,Manchester City,57.0,84.6,15.9,2014-2015
2,Chelsea,54.1,83.2,18.6,2014-2015
3,Manchester United,58.8,85.1,15.8,2014-2015
4,Southampton,51.9,79.7,16.9,2014-2015
5,Liverpool,54.4,82.8,15,2014-2015
6,Tottenham,55.3,81.2,16,2014-2015
7,Stoke,50.2,77.5,24.4,2014-2015
8,Swansea,50.7,82.1,14.4,2014-2015
9,West Ham,46.7,74.6,22.9,2014-2015
10,Leicester,44.8,71.1,23.4,2014-2015
11,Crystal Palace,42.7,69.4,23.7,2014-2015
12,Everton,53.6,82.5,15.3,2014-2015
13,Burnley,44.0,70.4,25.1,2014-2015
14,West Bromwich Albion,44.9,75.0,17.2,2014-2015
15,Queens Park Rangers,46.3,70.8,21.7,2014-2015
16,Hull,45.6,76.5,21.9,2014-2015
17,Sunderland,46.2,76.1,15.3,2014-2015
18,Newcastle United,48.1,76.9,17.7,2014-2015
19,Aston Villa,49.1,79.0,18.5,2014-2015
0,Arsenal,56.9,84.2,15.2,2015-2016
1,Leicester,44.8,70.5,18.8,2015-2016
2,Tottenham,55.3,80.5,14.3,2015-2016
3,Manchester City,55.2,83.1,15.7,2015-2016
4,West Ham,49.1,77.6,17.7,2015-2016
5,Southampton,49.3,77.7,19.3,2015-2016
6,Liverpool,55.0,80.2,16.5,2015-2016
7,Everton,51.5,81.4,12.9,2015-2016
8,Chelsea,54.4,82.5,14.1,2015-2016
9,Manchester United,55.9,82.3,13.1,2015-2016
10,Watford,46.3,72.6,17.4,2015-2016
11,Crystal Palace,46.8,74.4,17.8,2015-2016
12,Sunderland,43.3,71.0,17.3,2015-2016
13,Swansea,52.0,80.9,13.7,2015-2016
14,Stoke,50.0,79.1,16.4,2015-2016
15,Newcastle United,47.4,76.6,13.9,2015-2016
16,West Bromwich Albion,42.2,70.0,19.1,2015-2016
17,Bournemouth,51.0,79.8,15.3,2015-2016
18,Aston Villa,47.3,77.8,19.1,2015-2016
19,Norwich,46.5,73.6,17.4,2015-2016
