,Team,Dribbles,Fouls Given,Season
0,Chelsea,10.1,11.3,2010-2011
1,Manchester United,8.2,10.2,2010-2011
2,Arsenal,10.5,11.1,2010-2011
3,Manchester City,9.1,11.1,2010-2011
4,Tottenham,9.9,13,2010-2011
5,Liverpool,7.6,11.4,2010-2011
6,Fulham,5.4,12,2010-2011
7,Bolton,5.9,11,2010-2011
8,Sunderland,6.6,10.9,2010-2011
9,Aston Villa,5.9,11.9,2010-2011
10,Everton,7,13.9,2010-2011
11,Wigan,9.9,11.4,2010-2011
12,Newcastle United,7.6,13.5,2010-2011
13,West Ham,6.2,9.9,2010-2011
14,Stoke,4.5,10.6,2010-2011
15,Blackburn,5.6,11.3,2010-2011
16,Blackpool,7,10.5,2010-2011
17,West Bromwich Albion,8,10.5,2010-2011
18,Birmingham,4,11.8,2010-2011
19,Wolverhampton Wanderers,4.2,11.9,2010-2011
0,Manchester United,8.7,10.2,2011-2012
1,Manchester City,8.6,9.8,2011-2012
2,Tottenham,8.6,10.2,2011-2012
3,Arsenal,9.8,10.8,2011-2012
4,Chelsea,7.5,11,2011-2012
5,Fulham,6.4,11.1,2011-2012
6,Liverpool,7.5,10.1,2011-2012
7,Sunderland,5.4,10.1,2011-2012
8,Swansea,8,11.4,2011-2012
9,Newcastle United,6.3,11.4,2011-2012
10,Aston Villa,5.6,9.4,2011-2012
11,Everton,4.4,10.6,2011-2012
12,West Bromwich Albion,6.3,9.4,2011-2012
13,Queens Park Rangers,5.9,11.7,2011-2012
14,Bolton,6.1,9.3,2011-2012
15,Norwich,3,8.7,2011-2012
16,Wigan,7.6,11.1,2011-2012
17,Stoke,3.7,10.4,2011-2012
18,Blackburn,6.2,9.6,2011-2012
19,Wolverhampton Wanderers,4.3,10.3,2011-2012
0,Manchester United,6.4,11.1,2012-2013
1,Arsenal,10.7,10.8,2012-2013
2,Liverpool,9.9,9.4,2012-2013
3,Tottenham,8,10.3,2012-2013
4,Chelsea,7.3,11.9,2012-2013
5,Manchester City,7.7,9.2,2012-2013
6,Everton,5.3,13.1,2012-2013
7,Swansea,5.2,11,2012-2013
8,Fulham,6.2,10.8,2012-2013
9,Aston Villa,6.6,9.1,2012-2013
10,Southampton,6.3,9.4,2012-2013
11,West Ham,5,9.6,2012-2013
12,Sunderland,6.2,12.1,2012-2013
13,Queens Park Rangers,9.2,11.4,2012-2013
14,Newcastle United,8.9,10.6,2012-2013
15,Stoke,4.2,9.4,2012-2013
16,West Bromwich Albion,5.5,10.3,2012-2013
17,Wigan,7,11.6,2012-2013
18,Norwich,4.8,10.5,2012-2013
19,Reading,4.4,11.3,2012-2013
0,Liverpool,12.4,10.8,2013-2014
1,Manchester City,8.9,9,2013-2014
2,Chelsea,11.4,11.8,2013-2014
3,Arsenal,9,10.6,2013-2014
4,Everton,12.6,11.7,2013-2014
5,Manchester United,8.9,11.8,2013-2014
6,Southampton,8.8,9.9,2013-2014
7,Crystal Palace,7.7,9.7,2013-2014
8,Tottenham,11,10.2,2013-2014
9,Stoke,7.6,9.5,2013-2014
10,Newcastle United,10.1,9.2,2013-2014
11,Swansea,7.6,9.9,2013-2014
12,West Ham,7.4,9.7,2013-2014
13,West Bromwich Albion,7.8,11.4,2013-2014
14,Hull,5.8,10.5,2013-2014
15,Aston Villa,6.2,9.2,2013-2014
16,Sunderland,6.4,11.9,2013-2014
17,Fulham,8,10.2,2013-2014
18,Norwich,6.7,10.3,2013-2014
19,Cardiff,8.3,9.7,2013-2014
0,Arsenal,15.8,11,2014-2015
1,Manchester City,11.4,7.8,2014-2015
2,Chelsea,12.9,11.4,2014-2015
3,Manchester United,9.8,10.4,2014-2015
4,Southampton,7,10.4,2014-2015
5,Liverpool,11.5,12.3,2014-2015
6,Tottenham,10.9,10.1,2014-2015
7,Stoke,9.4,10.8,2014-2015
8,Swansea,9.2,12.2,2014-2015
9,West Ham,6.8,11,2014-2015
10,Leicester,9.2,9.2,2014-2015
11,Crystal Palace,9.4,11.4,2014-2015
12,Everton,10.3,11.8,2014-2015
13,Burnley,6.4,10.5,2014-2015
14,West Bromwich Albion,6.3,10.7,2014-2015
15,Queens Park Rangers,8.1,10.3,2014-2015
16,Hull,6.7,10.6,2014-2015
17,Sunderland,9,11.8,2014-2015
18,Newcastle United,11.7,11.6,2014-2015
19,Aston Villa,7.6,11.1,2014-2015
0,Arsenal,13,11.4,2015-2016
1,Leicester,11.3,9.3,2015-2016
2,Tottenham,9.5,10.2,2015-2016
3,Manchester City,12,10.1,2015-2016
4,West Ham,10.4,11.8,2015-2016
5,Southampton,7.1,9.6,2015-2016
6,Liverpool,10.8,9.9,2015-2016
7,Everton,11.7,10.8,2015-2016
8,Chelsea,12.3,12.6,2015-2016
9,Manchester United,9.8,9.4,2015-2016
10,Watford,8.7,10.2,2015-2016
11,Crystal Palace,10.3,11.3,2015-2016
12,Sunderland,8,10.1,2015-2016
13,Swansea,7.9,11.9,2015-2016
14,Stoke,10.6,10.1,2015-2016
15,Newcastle United,9.7,9.5,2015-2016
16,West Bromwich Albion,7.6,10.3,2015-2016
17,Bournemouth,10.9,10.4,2015-2016
18,Aston Villa,11.1,9.6,2015-2016
19,Norwich,8.4,8.1,2015-2016
